country,indicator,year,value,country_name,indicator_code,indicator_name,description,dimension,role,direction,unit,source,collection_date,aggregation,lookback_years,normalization,required,validation
SGP,NY.GDP.MKTP.KD.ZG,2025,5.194205027530888,Singapore,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}"
SGP,NY.GDP.PCAP.CD,2025,98813.9788172877,Singapore,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
SGP,SL.UEM.TOTL.ZS,2025,3.446,Singapore,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}"
SGP,SP.POP.TOTL,2025,6111175.0,Singapore,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
THA,BX.KLT.DINV.WD.GD.ZS,2025,2.6794287060167883,Thailand,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
THA,EG.ELC.ACCS.ZS,2024,100.0,Thailand,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
THA,FP.CPI.TOTL.ZG,2025,1.760146707380033,Thailand,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
THA,FS.AST.PRVT.GD.ZS,2025,143.08365214331,Thailand,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
THA,GC.DOD.TOTL.GD.ZS,2024,61.861415782411,Thailand,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
THA,IC.BUS.NDNS.ZS,2024,1.74887101826675,Thailand,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
THA,IT.NET.BBND.P2,2024,14.8870491187484,Thailand,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
THA,IT.NET.USER.ZS,2024,90.86718789,Thailand,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
THA,NE.TRD.GNFS.ZS,2025,138.413686011523,Thailand,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
THA,NY.GDP.MKTP.KD.ZG,2025,2.3672666303945737,Thailand,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}"
THA,NY.GDP.PCAP.CD,2025,8056.56359761558,Thailand,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
THA,SL.UEM.TOTL.ZS,2025,0.89,Thailand,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}"
THA,SP.POP.TOTL,2025,71619863.0,Thailand,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
VNM,BX.KLT.DINV.WD.GD.ZS,2024,4.332015366985236,Vietnam,BX.KLT.DINV.WD.GD.ZS,FDI Inflows,Foreign direct investment net inflows as percentage of GDP,Market Accessibility,Investor Attractiveness Indicator,benefit,% of GDP,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
VNM,EG.ELC.ACCS.ZS,2024,100.0,Vietnam,EG.ELC.ACCS.ZS,Access to Electricity,Population with access to electricity,Infrastructure & Digital Readiness,Basic Infrastructure Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
VNM,FP.CPI.TOTL.ZG,2025,3.0350403510936403,Vietnam,FP.CPI.TOTL.ZG,Inflation Rate,Annual consumer price inflation,Economic Stability,Price Stability Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,{'allow_negative': True}
VNM,FS.AST.PRVT.GD.ZS,2022,124.961478822546,Vietnam,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
VNM,IC.BUS.NDNS.ZS,2024,1.99943682366206,Vietnam,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
VNM,IT.NET.BBND.P2,2024,23.711259212336,Vietnam,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
VNM,IT.NET.USER.ZS,2024,84.15,Vietnam,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}"
VNM,NE.TRD.GNFS.ZS,2025,190.336808817292,Vietnam,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
VNM,NY.GDP.MKTP.KD.ZG,2025,6.225654098901522,Vietnam,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}"
VNM,NY.GDP.PCAP.CD,2025,5065.99091899299,Vietnam,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
VNM,SL.UEM.TOTL.ZS,2025,1.7445999999999997,Vietnam,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}"
VNM,SP.POP.TOTL,2025,101598527.0,Vietnam,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True}
